Sponsor Name,Amount,Level
Alerus,500 ,Bronze
Atlas Insurance,500 ,Bronze
Archkey Technologies,500 ,Bronze
BB's Pizzaria,,CC
Bear Arms,500 ,Bronze
Blue Lagoon,,CC
Bowlocity,500 ,Bronze
Chick-fil-A,630 ,Panther Fuel
EDI Driving School,250 ,Iron
Kwik Trip,,CC
Lakeside Dentistry,2500 ,Gold
Mayo  Clinic ,500 ,Bronze
McDonald's ,,CC
Newt's,,CC
Purple Goat,,CC
Superior Screeners,250 ,Iron
Tavern 22,,5th Quarter Sponsor
The Workshop,,CC
Two Sisters,,CC
VFW ,1600 ,Silver
Wildwood,,CC
West End Blends,,Panther Fuel
Hy-Vee,4000 ,Platinum
